"Top values of Image","Count of records"
"https://telegram.metodosdigitais.org/media/adf431b174b060f470b064a53db02df12db23bb5653299451f7b4addd64ec20d.jpg",15
"https://telegram.metodosdigitais.org/media/afcc2e9cc23f9c2fbe07cc2fcbf063587058c117cd0375c0f15cd962054fb5c0.jpg",14
"https://telegram.metodosdigitais.org/media/ad013fc387432ff35adae16ee07cc0d0d0e8d2b4d211a53dd28e1ebec01fd01f.jpg",12
"https://telegram.metodosdigitais.org/media/96cf8fdf8bbf8f4fb0b93411795270206069cc21b69e86db8f163f0139657310.jpg",10
"https://telegram.metodosdigitais.org/media/998c3f89999de6f0ae53b8eea644e653eb36b466c2c8ce4cac26a0f4c2428f17.jpg",9
